NAME00,adj_home_price,age,population_growth,land_area,population_density,school_outcomes
Bethel,346477.1,166.0,9.5,16.8,1212.5,82.4
Bridgeport,204516.2,200.0,3.1,16.0,9290.9,59.7
Brookfield,380106.9,233.0,6.5,19.8,885.3,85.0
Danbury,322152.6,334.0,7.0,42.1,2054.6,75.0
Darien,1271050.0,201.0,3.7,12.9,1671.8,88.7
Easton,567792.5,176.0,1.5,27.4,277.4,81.4
Fairfield,585378.6,382.0,3.5,30.0,2048.4,82.9
Greenwich,1628659.9,356.0,3.8,47.8,1328.0,84.1
Monroe,368944.2,198.0,-3.4,26.1,720.4,83.4
New Canaan,1237069.3,220.0,4.5,22.1,931.9,91.0
New Fairfield,347096.4,281.0,-2.2,20.5,663.7,79.6
Newtown,387993.8,310.0,-1.4,57.8,470.4,81.9
Norwalk,488587.7,370.0,6.5,22.8,3997.5,73.4
Redding,529846.9,254.0,-4.3,31.5,278.3,83.8
Ridgefield,637490.2,312.0,1.6,34.4,727.1,86.0
Shelton,337269.9,232.0,3.3,30.6,1336.9,79.0
Sherman,417642.4,219.0,-1.5,21.8,161.8,77.1
Stamford,592030.9,380.0,10.5,37.8,3588.6,69.9
Stratford,259867.5,382.0,1.9,17.6,2976.4,71.0
Trumbull,393459.6,224.0,2.2,23.3,1581.2,83.4
Weston,711681.9,234.0,1.7,19.8,522.9,74.9
Westport,1135148.1,186.0,2.8,20.0,1356.4,83.7
Wilton,714368.6,219.0,2.4,27.0,686.6,86.8
Avon,434368.2,191.0,4.6,23.1,818.9,81.8
Berlin,266650.5,236.0,1.6,26.5,762.8,78.1
Bloomfield,213329.5,186.0,5.1,26.0,828.0,61.6
Bristol,192094.8,236.0,0.6,26.5,2294.7,71.8
Burlington,300461.1,215.0,2.3,29.8,319.4,81.7
Canton,331663.6,215.0,-1.6,24.6,412.0,81.7
East Granby,271320.0,163.0,1.3,17.5,298.3,83.3
East Hartford,169889.8,238.0,-0.4,18.0,2832.7,68.2
East Windsor,210986.3,253.0,0.3,26.3,425.6,66.0
Enfield,191229.1,338.0,-5.6,33.4,1262.5,74.3
Farmington,348766.6,376.0,5.4,28.1,952.0,85.4
Glastonbury,373435.2,331.0,2.1,51.4,684.4,81.9
Granby,305125.5,235.0,-3.4,40.7,268.0,83.8
Hartford,155234.9,386.0,-3.0,17.3,6993.3,60.0
Hartland,241345.0,260.0,-10.1,33.0,57.6,87.0
Manchester,192223.7,198.0,2.5,27.3,2190.5,61.4
Marlborough,258960.0,218.0,-4.2,23.3,263.4,77.9
New Britain,162672.5,171.0,1.3,13.3,5557.3,57.4
Newington,238926.3,150.0,-0.1,13.2,2316.8,76.5
Plainville,204325.6,152.0,-1.1,9.8,1795.6,74.5
Rocky Hill,277087.1,178.0,5.8,13.5,1549.8,80.9
Simsbury,341774.7,351.0,4.3,33.9,723.6,82.9
South Windsor,290497.0,176.0,4.7,28.0,962.7,81.3
Southington,281182.4,242.0,1.0,36.0,1208.7,78.0
Suffield,311677.9,347.0,0.1,42.2,373.2,80.1
